Test_No,Start,Stop,DateNum_Start,Datenum_Stop,System_Error,SEID,Parameter,Max,Min,Mean,Std,Ppk
151006-2,10/6/2015 21:00,10/7/2015 5:48,736243.8753,736244.2421,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.999126017,0.83,0.94,0.03,75.42
151007-1,10/7/2015 9:17,10/7/2015 18:41,736244.3872,736244.7785,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.999134421,0.81,0.94,0.03,72.93
151007-2,10/7/2015 21:07,10/8/2015 5:41,736244.8802,736245.2368,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151008-1,10/8/2015 9:02,10/8/2015 20:29,736245.3766,736245.8538,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151008-2,10/8/2015 21:37,10/9/2015 9:20,736245.9013,736246.389,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.983957171,0.92,0.97,0.01,100.00
151009-1,10/9/2015 9:20,10/9/2015 18:42,736246.3891,736246.7798,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.979914129,0.93,0.96,0.01,100.00
151009-2,10/9/2015 20:44,10/10/2015 4:30,736246.8642,736247.1877,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151010-1,10/10/2015 8:27,10/10/2015 14:36,736247.3525,736247.6088,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151012-2,10/12/2015 20:29,10/13/2015 4:01,736249.8536,736250.168,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151013-1,10/13/2015 9:21,10/13/2015 16:57,736250.3901,736250.7066,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151102-2,11/2/2015 22:10,11/3/2015 8:59,736270.924,736271.3749,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.983823776,0.91,0.95,0.01,100.00
151103-1,11/3/2015 9:48,11/3/2015 21:17,736271.4084,736271.8871,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.971689105,0.88,0.95,0.02,100.00
151103-2,11/3/2015 21:47,11/4/2015 6:38,736271.9081,736272.2769,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151104-1,11/4/2015 9:38,11/4/2015 18:50,736272.4017,736272.7853,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151104-2,11/4/2015 22:18,11/5/2015 7:03,736272.9292,736273.2943,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.999352634,0.95,0.99,0.01,100.00
151105-1,11/5/2015 10:04,11/5/2015 19:48,736273.4195,736273.8256,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.997856259,0.95,0.99,0.01,100.00
151105-2,11/5/2015 22:23,11/6/2015 7:02,736273.9328,736274.2937,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151106-1,11/6/2015 9:50,11/6/2015 19:27,736274.4102,736274.811,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151106-2,11/6/2015 22:36,11/7/2015 8:10,736274.942,736275.3405,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151107-1,11/7/2015 9:47,11/7/2015 19:33,736275.4079,736275.8146,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151109-2,11/9/2015 21:57,11/10/2015 9:28,736277.9148,736278.3949,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.983624399,0.91,0.96,0.02,100.00
151110-1,11/10/2015 9:41,11/10/2015 19:05,736278.404,736278.7958,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.990634084,0.92,0.96,0.01,100.00
151110-2,11/10/2015 21:55,11/11/2015 6:47,736278.9132,736279.2828,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,1.254941344,0.93,0.97,0.03,64.89
151111-1,11/11/2015 9:49,11/11/2015 19:11,736279.4095,736279.7999,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.976244569,0.92,0.96,0.01,100.00
151111-2,11/11/2015 22:02,11/12/2015 6:17,736279.9181,736280.2619,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.963048935,0.92,0.95,0.01,100.00
151112-1,11/12/2015 10:49,11/12/2015 20:58,736280.4508,736280.8741,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,0.941932559,0.90,0.93,0.01,100.00
151112-2,11/12/2015 21:02,11/13/2015 4:59,736280.8767,736281.2081,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151113-1,11/13/2015 10:30,11/13/2015 18:06,736281.4376,736281.7542,SCR_CAT_SUBSTRATE_MISSING_ERR,10102,P_SCDE_CM_NormEff_EWMA_Filt_Val,NULL,NULL,NULL,NULL,NULL
151006-2,10/6/2015 21:00,10/7/2015 5:48,736243.8753,736244.2421,SCR_EFFICIENCY4_DEGRADED_ERR,12493,P_SCDE_CE4_EWMA_FiltVal,29.32039833,1.05,7.65,4.46,74.10
151007-1,10/7/2015 9:17,10/7/2015 18:41,736244.3872,736244.7785,SCR_EFFICIENCY4_DEGRADED_ERR,12493,P_SCDE_CE4_EWMA_FiltVal,16.13783455,1.22,7.52,2.81,100.00
151007-2,10/7/2015 21:07,10/8/2015 5:41,736244.8802,736245.2368,SCR_EFFICIENCY4_DEGRADED_ERR,12493,P_SCDE_CE4_EWMA_FiltVal,8.84142971,0.00,1.06,1.45,100.00
151008-1,10/8/2015 9:02,10/8/2015 20:29,736245.3766,736245.8538,SCR_EFFICIENCY4_DEGRADED_ERR,12493,P_SCDE_CE4_EWMA_FiltVal,0.451706409,0.04,0.24,0.13,100.00
151008-2,10/8/2015 21:37,10/9/2015 9:20,736245.9013,736246.389,SCR_EFFICIENCY4_DEGRADED_ERR,12493,P_SCDE_CE4_EWMA_FiltVal,27.83426094,1.19,6.32,5.09,65.08
151009-1,10/9/2015 9:20,10/9/2015 18:42,736246.3891,736246.7798,SCR_EFFICIENCY4_DEGRADED_ERR,12493,P_SCDE_CE4_EWMA_FiltVal,25.78211975,0.45,4.29,3.06,100.00
151009-2,10/9/2015 20:44,10/10/2015 4:30,736246.8642,736247.1877,SCR_EFFICIENCY4_DEGRADED_ERR,12493,P_SCDE_CE4_EWMA_FiltVal,NULL,NULL,NULL,NULL,NULL
