Test_No,5369_max,5369_min,5369_mean,5369_std,5365_max,5365_min,5365_mean,5365_std,5366_max,5366_min,5366_mean,5366_std,5376_max,5376_min,5376_mean,5376_std,5378_max,5378_min,5378_mean,5378_std,10102_max,10102_min,10102_mean,10102_std,12493_max,12493_min,12493_mean,12493_std
150325-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150325-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150325-2,0,0,0,0,299.1402893,0,19.57618897,46.70792609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150325-2,0,0,0,0,0,0,0,0,91.56781006,0,10.27616693,20.66444368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150325-2,925.4660645,722.6102905,851.3190214,57.55279545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150325-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150325-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-1,0,0,0,0,44.64670181,0,2.479442165,8.534401635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-1,0,0,0,0,0,0,0,0,85.25587463,0,7.629871296,18.36826746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-1,965.8587646,790.9637451,858.5474243,57.61861419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-2,0,0,0,0,1.311735153,0,0.062463579,0.286244078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-2,0,0,0,0,0,0,0,0,1.76657486,0,0.122968356,0.414266189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-2,1171.58374,860.7784424,1036.754209,78.36379716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150326-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-1,1136.387695,969.9732666,1020.405212,53.23412347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997400522,0.97008419,0.98539213,0.005069588,0,0,0,0
150327-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.435836315,0.00062958,1.812641283,1.791836204
150327-2,0,0,0,0,54.97741699,0,4.358929707,12.22822447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-2,0,0,0,0,0,0,0,0,86.07321167,0,3.134407704,12.69329301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-2,1837.1698,1519.384644,1648.09082,119.8885855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150327-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
