Test_No,5369MeanByStd,5365MeanByStd,5366MeanByStd,10102MeanByStd,12493MeanByStd
150325-2,0,0,0,0,0
150325-2,0,0,0,0,0
150325-2,0,0.419119208,0,0,0
150325-2,0,0,0.497287374,0,0
150325-2,14.79196648,0,0,0,0
150325-2,0,0,0,0,0
150325-2,0,0,0,0,0
150326-1,0,0,0,0,0
150326-1,0,0,0,0,0
150326-1,0,0.290523258,0,0,0
150326-1,0,0,0.415383286,0,0
150326-1,14.90052193,0,0,0,0
150326-1,0,0,0,0,0
150326-1,0,0,0,0,0
150326-2,0,0,0,0,0
150326-2,0,0,0,0,0
150326-2,0,0.218217891,0,0,0
150326-2,0,0,0.296834159,0,0
150326-2,13.23001496,0,0,0,0
150326-2,0,0,0,0,0
150326-2,0,0,0,0,0
150327-1,0,0,0,0,0
150327-1,0,0,0,0,0
150327-1,0,0,0,0,0
150327-1,0,0,0,0,0
150327-1,19.16825422,0,0,0,0
150327-1,0,0,0,0,0
150327-1,0,0,0,0,0
150327-2,0,0,0,194.3732173,0
150327-2,0,0,0,0,1.011611038
150327-2,0,0.356464646,0,0,0
150327-2,0,0,0.246934164,0,0
150327-2,13.74685349,0,0,0,0
150327-2,0,0,0,0,0
150327-2,0,0,0,0,0
150328-1,0,0,0,235.3457321,0
150328-1,0,0,0,0,1.936320921
150328-1,0,0.374571857,0,0,0
150328-1,0,0,0.432889213,0,0
150328-1,19.86601981,0,0,0,0
150328-1,0,0,0,0,0
150328-1,0,0,0,0,0
150330-2,0,0,0,0,0
150330-2,0,0,0,0,0
150330-2,0,0,0,0,0
150330-2,0,0,0,0,0
150330-2,0,0,0,0,0
150330-2,0,0,0,0,0
150330-2,0,0,0,0,0
150331-1,0,0,0,0,0
150331-1,0,0,0,0,0
150331-1,0,0,0,0,0
150331-1,0,0,0,0,0
150331-1,0,0,0,0,0
150331-1,0,0,0,0,0
150331-1,0,0,0,0,0
150331-2,0,0,0,0,0
150331-2,0,0,0,0,0
150331-2,0,0.257468304,0,0,0
150331-2,0,0,0.355381659,0,0
150331-2,6.051282087,0,0,0,0
150331-2,0,0,0,0,0
150331-2,0,0,0,0,0
150401-1,0,0,0,0,0
150401-1,0,0,0,0,0
150401-1,0,0.243466566,0,0,0
150401-1,0,0,0.305375721,0,0
150401-1,8.599018406,0,0,0,0
150401-1,0,0,0,0,0
150401-1,0,0,0,0,0
150401-2,0,0,0,0,0
150401-2,0,0,0,0,0
150401-2,0,0,0,0,0
150401-2,0,0,0,0,0
150401-2,0,0,0,0,0
150401-2,0,0,0,0,0
150401-2,0,0,0,0,0
150402-1,0,0,0,0,0
150402-1,0,0,0,0,0
150402-1,0,0,0,0,0
150402-1,0,0,0,0,0
150402-1,0,0,0,0,0
150402-1,0,0,0,0,0
150402-1,0,0,0,0,0
150402-2,0,0,0,0,0
