Test_No,5369_max,5369_min,5369_mean,5369_std,5365_max,5365_min,5365_mean,5365_std,5366_max,5366_min,5366_mean,5366_std,5376_max,5376_min,5376_mean,5376_std,5378_max,5378_min,5378_mean,5378_std,10102_max,10102_min,10102_mean,10102_std,12493_max,12493_min,12493_mean,12493_std
150325-2,925.4660644999999,722.6102905,851.3190214,57.55279545,299.1402893,0,19.57618897,46.70792609,91.56781006,0,10.27616693,20.66444368,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150326-1,965.8587646,790.9637451,858.5474242999999,57.61861419,44.64670181,0,2.479442165,8.534401635,85.25587463,0,7.629871296,18.36826746,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150326-2,1171.58374,860.7784424,1036.754209,78.36379716,1.3117351529999999,0,0.062463579000000005,0.286244078,1.76657486,0,0.122968356,0.414266189,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150327-1,1136.387695,969.9732666000001,1020.4052119999999,53.23412347,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150327-2,1837.1698,1519.384644,1648.09082,119.8885855,54.97741699,0,4.358929707,12.22822447,86.07321167,0,3.1344077039999996,12.69329301,0,0,0,0,0,0,0,0,0.9974005220000001,0.97008419,0.98539213,0.005069588,7.435836315,0.00062958,1.812641283,1.791836204
150328-1,1942.055664,1665.8280029999999,1831.39073,92.18709877,113.53086850000001,0,9.615942407999999,25.671823,189.6138458,0,12.34088674,28.50818727,0,0,0,0,0,0,0,0,0.99375844,0.9751105309999999,0.985777606,0.004188636,5.408560276,0.597719431,2.8799799680000002,1.4873464090000001
150330-2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150331-1,742.2035522000001,742.2035522000001,742.2035522000001,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150331-2,1199.8657230000001,782.1515502999999,956.6669539999999,158.0932669,49.91824341,0,1.592747481,6.186188572000001,65.65409088,0,3.5173751089999996,9.897458183,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150401-1,985.1984863,702.6934813999999,842.9650879000001,98.03038534,70.43603516,0,2.550975067,10.47772229,47.87495041,0,2.012105366,6.588950039,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150401-2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150402-1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150402-2,831.2846069,610.7398682,735.0995889999999,112.93961159999999,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150403-1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150407-2,1518.8122560000002,1249.508301,1384.1602779999998,190.42665280000003,9.739073753,0,0.22649008699999998,1.4851948240000001,27.39079666,0,0.636995271,4.177057331,0,0,0,0,0,0,0,0,0.9946405290000001,0.9749374390000001,0.985749337,0.005628834,7.814312458,0.439130545,3.949138135,2.129254794
150408-2,1406.533081,1177.783569,1295.8667779999998,63.73465133,3.883544922,0,0.20439710100000003,0.890946308,3.836099625,0,0.317664699,0.978476041,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150409-1,1465.8186039999998,1063.9436039999998,1298.1606789999998,112.05211229999999,21.02582169,0,1.135258136,4.378713489,17.67773819,0,1.049166348,3.76705656,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150409-2,882.9869994999999,882.9869994999999,882.9869994999999,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150410-1,922.9353027000001,867.3231812000001,895.1292419,39.32370829,31.02218056,0,5.7362255520000005,11.6766634,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150410-2,1635.84021,1218.459106,1438.8393310000001,151.34523169999997,7.380264282000001,0,0.541186829,1.881504504,3.6403398510000002,0,0.17441188800000001,0.736260969,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150411-1,1626.868774,1333.9433589999999,1497.644217,97.64645363,0.0,0,0.0,0.0,2.38895607,0,0.102729479,0.448536373,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14.8654604,12.78142929,13.82344484,1.473632527
