gender,age_range,country,acct_age_weeks,user_id
male,25 - 29,FR,329,97f47c9fba714ca68320b8a80e010a1a
female,45 - 54,US,178,d615ca85849d458e9a5d755ec4727e8f
female,18 - 24,DE,68,6c83a5bf63b74f85b106ac7e7e015a1b
female,30 - 34,US,8,530fcedb3f244e6f91ecb326740005eb
female,30 - 34,FR,42,d2ed6a815eda4f61aa346b7936d03ef7
male,30 - 34,US,94,eff93ce13bab47ffa4db541a69bfe719
male,35 - 44,AR,101,267dcccb963342cea7184294f822805a
male,35 - 44,ES,47,b59d11c5467140dfb6ebd845ee405b83
female,0 - 17,US,21,e3e101160e354f99b5c5d23faa8d6ff0
female,25 - 29,US,41,48eaff2955ae4c35b95ebd0c2066dae4
male,0 - 17,SE,87,dff2fce2b2544b04876fa70f15f92923
female,0 - 17,US,146,e96152ca7c3e410cac4d5b02d98a527c
female,45 - 54,NL,69,04890c6da1b74c32ac70ba3e1a2ef4ec
female,35 - 44,IT,24,a5b101b38b934a87b3cc82be8ec38a88
female,18 - 24,US,143,b924c8ebeaeb4e8daf690868f3d79708
male,35 - 44,MX,37,6a54523d550e440d81db0c95b5e2c2c4
female,18 - 24,DE,151,85961ba3341241189bab316b31fce157
female,18 - 24,CA,10,8340b9d44df547658452a9e9f99de7b6
female,30 - 34,NL,78,aa5dfdd0c08b4ba4a7cb51b7a06cc36d
female,18 - 24,PE,20,aa77c4fc383f4211b6f01136c2eea9d9
male,0 - 17,PH,52,aeb8e82eaaec4f4aadb5d005d505c208
female,35 - 44,FR,92,e607c57f5e6f4d7792324d05dfbd2f52
female,25 - 29,IE,0,981740df8a7f4a28b03a2fdba4ae0762
male,18 - 24,MX,4,bf2ee9084dc44b418760c53641824fee
male,18 - 24,BR,13,0dc6f8bf1eab48a79e761b3d0a4d4c29
male,35 - 44,DE,84,30d58c1854b942a48daf49847b90f75a
male,18 - 24,ES,7,9621928759804082bde19ef98cb1dbc3
male,45 - 54,ES,19,a702810b4c6a498fa128e88c5728c1de
female,25 - 29,MX,51,799c35e151de40d9bfd853ff2482c12b
male,0 - 17,US,8,5e70feb7e0044758bb49d4afcd0c9e89
female,18 - 24,US,106,9f0c20ddba6b407cb71a3fdd8747fff4
female,0 - 17,ES,6,6854e05366e14641be2859e2e7d2d01f
female,18 - 24,US,86,8b2e40250d254754b78f54a4a1242e78
male,25 - 29,BE,9,a3f14338d5e340ef8292feceb0decda7
female,18 - 24,ES,46,4374ef7d841243f68d5490ee884ad4b8
male,18 - 24,SE,279,4b76d2a11b22411f917e257b7f4e7149
female,25 - 29,FR,116,de7c11e32b9a4cee96a5dcaf92957abb
male,18 - 24,US,9,44b8b658bdab4238839fbd4b15acab40
female,35 - 44,CL,8,5beb090cbf6e42acb10099c2c4bf3236
male,25 - 29,DE,12,e90d2bd89dbb444090f5b249e8b000ee
male,45 - 54,BR,9,4949be4136fa4ba2b96238a9b376bf96
female,35 - 44,IT,93,5e6d5e3e8f214f99bd09b6cb0cf7fdb3
female,0 - 17,US,43,c4c35173c1e34addb8db1943be1a9e3a
male,18 - 24,US,27,c6f2e91034ce43b3bef4139809c59980
male,18 - 24,US,180,371ecc963f134faa8c27365dfb6a37f0
male,35 - 44,US,3,f431eaecd0354cb1a77272e528a73f02
male,45 - 54,SE,47,ff419a9d08a14e98b1ac7318f8a08ef8
female,0 - 17,US,13,19fef84d33ea4405bfd06cbe7829f832
male,35 - 44,US,67,353d2e0825154d11aa22d643179a2235
male,18 - 24,PE,5,cacb940e34dd4a71a61c75ef4af4e145
